Site,Plot,Name,Point,Original_Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name,Notes
E,CO,ECO,a,ECO1,,,,,plot,-105.5863585,40.05374367,3502.73,Global,0.01,0.01,0.011,0.014,1.934,m,FIX,2023-09-28 11:03:20.8 UTC-06:00,2023-09-28 11:03:20.8 UTC-06:00,1,1.3,,,,-105.5861613,40.05378974,3503.092,17.665,Global CS,
E,CO,ECO,b,ECO2,,,,,plot,-105.5862673,40.05379929,3502.509,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 11:03:35.8 UTC-06:00,2023-09-28 11:03:35.8 UTC-06:00,1,1.4,,,,-105.5861613,40.05378974,3503.092,9.205,Global CS,
E,CO,ECO,c,ECO3,,,,,plot,-105.5860483,40.05348988,3493.265,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 11:04:14.6 UTC-06:00,2023-09-28 11:04:14.6 UTC-06:00,1,1.5,,,,-105.5861613,40.05378974,3503.092,35.569,Global CS,
E,CO,ECO,d,ECO4,,,,,plot,-105.5859588,40.05354657,3493.065,Global,0.01,0.01,0.012,0.014,1.934,m,FIX,2023-09-28 11:04:25.0 UTC-06:00,2023-09-28 11:04:25.0 UTC-06:00,1,1.4,,,,-105.5861613,40.05378974,3503.092,33.082,Global CS,
E,CO,ECOT1,top,ECOT1_top,,,,,transect,-105.5863448,40.05375124,3502.726,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 11:02:39.8 UTC-06:00,2023-09-28 11:02:39.8 UTC-06:00,1,1.4,,,,-105.5861613,40.05378974,3503.092,16.313,Global CS,
E,CO,ECOT2,top,ECOT2_top,,,,,transect,-105.5863254,40.05376325,3502.697,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 11:02:58.2 UTC-06:00,2023-09-28 11:02:58.2 UTC-06:00,1,1.3,,,,-105.5861613,40.05378974,3503.092,14.394,Global CS,
E,CO,ECOT1,bottom,ECOT1,,,,,transect,-105.5860362,40.05349892,3492.945,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 10:59:10.0 UTC-06:00,2023-09-28 10:59:10.0 UTC-06:00,1,1.4,,,,-105.5861613,40.05378974,3503.092,35.005,Global CS,
E,CO,ECOT2,bottom,ECOT2,,,,,transect,-105.5860165,40.05350912,3492.817,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 10:59:16.6 UTC-06:00,2023-09-28 10:59:16.6 UTC-06:00,1,1.4,,,,-105.5861613,40.05378974,3503.092,34.559,Global CS,
E,CO,ECO_soil,8,ECO_soli4,,,,,soil ,-105.5860452,40.05355089,3494.215,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 11:07:33.0 UTC-06:00,2023-09-28 11:07:33.0 UTC-06:00,1,1.4,,,,-105.5861613,40.05378974,3503.092,29.165,Global CS,
E,CO,ECO_soil,7,ECO_soli3,,,,,soil ,-105.586127,40.05362182,3497.169,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 11:07:49.6 UTC-06:00,2023-09-28 11:07:49.6 UTC-06:00,1,1.6,,,,-105.5861613,40.05378974,3503.092,19.302,Global CS,
E,CO,ECO_soil,6,ECO_soli2,,,,,soil ,-105.5861858,40.0536692,3498.827,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 11:08:05.8 UTC-06:00,2023-09-28 11:08:05.8 UTC-06:00,1,1.4,,,,-105.5861613,40.05378974,3503.092,13.752,Global CS,
E,CO,ECO_soil,5,ECO_soli1,,,,,soil ,-105.5862646,40.05373455,3501.154,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-28 11:08:22.6 UTC-06:00,2023-09-28 11:08:22.6 UTC-06:00,1,1.4,,,,-105.5861613,40.05378974,3503.092,10.735,Global CS,
