Site,Plot,Name,Point,Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name,Notes
A,ES,AES,a,AES1,,,,,plot,-105.5906812,40.06128274,3461.735,Global,0.01,0.01,0.016,0.014,1.934,m,FIX,2023-09-29 10:26:05.6 UTC-06:00,2023-09-29 10:26:05.6 UTC-06:00,1,1.5,,,,-105.590461,40.06130576,3459.777,19.362,Global CS,
A,ES,AES,b,AES2,,,,,plot,-105.5907304,40.06136115,3461.461,Global,0.01,0.01,0.012,0.014,1.934,m,FIX,2023-09-29 10:26:16.4 UTC-06:00,2023-09-29 10:26:16.4 UTC-06:00,1,1.3,,,,-105.590461,40.06130576,3459.777,24.075,Global CS,
A,ES,AES,c,AES3,,,,,plot,-105.5902772,40.06144344,3451.895,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:31:40.8 UTC-06:00,2023-09-29 10:31:40.8 UTC-06:00,1,1.2,,,,-105.590461,40.06130576,3459.777,22.709,Global CS,
A,ES,AES,d,AES4,,,,,plot,-105.5903449,40.06154203,3451.441,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:31:53.2 UTC-06:00,2023-09-29 10:31:53.2 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,28.779,Global CS,
A,ES,AEST2,top,AEST2_top,,,,,transect,-105.5906958,40.06130913,3461.278,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:26:48.8 UTC-06:00,2023-09-29 10:26:48.8 UTC-06:00,1,1.2,,,,-105.590461,40.06130576,3459.777,20.337,Global CS,
A,ES,AEST1,top,AEST1_top,,,,,transect,-105.5906859,40.06129259,3461.44,Global,0.01,0.01,0.012,0.014,1.934,m,FIX,2023-09-29 10:27:06.4 UTC-06:00,2023-09-29 10:27:06.4 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,19.588,Global CS,
A,ES,AEST1,bottom,,,,,,transect,,,,,,,,,,,,,,,,,,,,,,,,could not find marker
A,ES,AEST2,bottom,AEST2,,,,,transect,-105.5902905,40.06147831,3451.363,Global,0.01,0.01,0.012,0.014,1.934,m,FIX,2023-09-29 10:32:51.2 UTC-06:00,2023-09-29 10:32:51.2 UTC-06:00,1,1.3,,,,-105.590461,40.06130576,3459.777,24.93,Global CS,
A,ES,AES_soil,8,AES_soil4,,,,,soil,-105.5904059,40.06144916,3455.131,Global,0.01,0.01,0.011,0.014,1.934,m,FIX,2023-09-29 10:33:47.0 UTC-06:00,2023-09-29 10:33:47.0 UTC-06:00,1,1.2,,,,-105.590461,40.06130576,3459.777,16.831,Global CS,
A,ES,AES_soil,7,AES_soil3,,,,,soil,-105.5904649,40.06143069,3456.545,Global,0.01,0.01,0.011,0.014,1.934,m,FIX,2023-09-29 10:33:58.8 UTC-06:00,2023-09-29 10:33:58.8 UTC-06:00,1,1.2,,,,-105.590461,40.06130576,3459.777,13.944,Global CS,
A,ES,AES_soil,6,AES_soil2,,,,,soil,-105.5905365,40.06139255,3458.316,Global,0.01,0.01,0.013,0.014,1.934,m,FIX,2023-09-29 10:34:14.0 UTC-06:00,2023-09-29 10:34:14.0 UTC-06:00,1,1.3,,,,-105.590461,40.06130576,3459.777,11.608,Global CS,
A,ES,AES_soil,5,AES_soil1,,,,,soil,-105.5905849,40.06137662,3459.03,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:34:32.0 UTC-06:00,2023-09-29 10:34:32.0 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,13.235,Global CS,
A,ES,AESS1,a,AESS1_a,,,,,subplot,-105.5906708,40.06129493,3461.23,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:27:29.2 UTC-06:00,2023-09-29 10:27:29.2 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,18.265,Global CS,
A,ES,AESS1,b,AESS1_a1,,,,,subplot,-105.5906731,40.06129881,3461.194,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:27:32.8 UTC-06:00,2023-09-29 10:27:32.8 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,18.427,Global CS,
A,ES,AESS1,c,AESS1_a2,,,,,subplot,-105.5906608,40.06130034,3461.007,Global,0.01,0.01,0.012,0.014,1.934,m,FIX,2023-09-29 10:27:42.6 UTC-06:00,2023-09-29 10:27:42.6 UTC-06:00,1,1.3,,,,-105.590461,40.06130576,3459.777,17.358,Global CS,
A,ES,AESS1,d,AESS1_a3,,,,,subplot,-105.5906639,40.06130428,3461.056,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:27:46.8 UTC-06:00,2023-09-29 10:27:46.8 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,17.613,Global CS,
A,ES,AESS5,a,AESS5_a,,,,,subplot,-105.5906939,40.06130904,3461.249,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:28:01.2 UTC-06:00,2023-09-29 10:28:01.2 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,20.173,Global CS,
A,ES,AESS5,b,AESS5_a1,,,,,subplot,-105.5906972,40.0613128,3461.283,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:28:05.2 UTC-06:00,2023-09-29 10:28:05.2 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,20.464,Global CS,
A,ES,AESS5,c,AESS5_a2,,,,,subplot,-105.5906837,40.06131392,3461.093,Global,0.01,0.01,0.011,0.014,1.934,m,FIX,2023-09-29 10:28:08.8 UTC-06:00,2023-09-29 10:28:08.8 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,19.306,Global CS,
