Site,Plot,Name,Point,Original_Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name,Notes
S,ES,SES,a,SES1,,,,,plot,-105.5747494,40.04933152,3384.75,Global,0.01,0.01,0.012,0.014,1.934,m,FIX,2023-09-29 13:51:08.4 UTC-06:00,2023-09-29 13:51:08.4 UTC-06:00,1,1.3,,,,-105.57459,40.04908057,3373.377,33.758,Global CS,
S,ES,SES,b,SES2,,,,,plot,-105.5746352,40.04934904,3385.863,Global,0.01,0.01,0.012,0.014,1.934,m,FIX,2023-09-29 13:51:27.4 UTC-06:00,2023-09-29 13:51:27.4 UTC-06:00,1,1.2,,,,-105.57459,40.04908057,3373.377,33.352,Global CS,
S,ES,SES,c,SES3,,,,,plot,-105.5746718,40.04900836,3369.571,Global,0.01,0.01,0.015,0.014,1.934,m,FIX,2023-09-29 13:45:34.6 UTC-06:00,2023-09-29 13:45:34.6 UTC-06:00,1,1.6,,,,-105.57459,40.04908057,3373.377,10.796,Global CS,
S,ES,SES,d,SES4,,,,,plot,-105.5745571,40.04902806,3369.161,Global,0.01,0.01,0.017,0.014,1.934,m,FIX,2023-09-29 13:45:46.8 UTC-06:00,2023-09-29 13:45:46.8 UTC-06:00,1,1.5,,,,-105.57459,40.04908057,3373.377,6.865,Global CS,
S,ES,SEST1,bottom,SEST1,,,,,transect,-105.574655,40.04901177,3369.341,Global,0.01,0.01,0.011,0.014,1.934,m,FIX,2023-09-29 13:46:07.2 UTC-06:00,2023-09-29 13:46:07.2 UTC-06:00,1,1.3,,,,-105.57459,40.04908057,3373.377,9.675,Global CS,
S,ES,SEST2,bottom,SEST2,,,,,transect,-105.5746318,40.04901664,3369.395,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 13:46:12.2 UTC-06:00,2023-09-29 13:46:12.2 UTC-06:00,1,1.4,,,,-105.57459,40.04908057,3373.377,8.209,Global CS,
S,ES,SEST1,top,SEST1_top,,,,,transect,-105.5747331,40.04933533,3384.691,Global,0.01,0.01,0.013,0.014,1.934,m,FIX,2023-09-29 13:51:57.0 UTC-06:00,2023-09-29 13:51:57.0 UTC-06:00,1,1.3,,,,-105.57459,40.04908057,3373.377,33.554,Global CS,
S,ES,SEST2,top,SEST2_top,,,,,transect,-105.5747099,40.04933888,3384.864,Global,0.01,0.01,0.014,0.014,1.934,m,FIX,2023-09-29 13:52:10.6 UTC-06:00,2023-09-29 13:52:10.6 UTC-06:00,1,1.2,,,,-105.57459,40.04908057,3373.377,33.294,Global CS,
S,ES,SES_soil,8,SES_soil4,,,,,soil,-105.5746453,40.04909245,3372.369,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 13:56:09.8 UTC-06:00,2023-09-29 13:56:09.8 UTC-06:00,1,1.3,,,,-105.57459,40.04908057,3373.377,4.987,Global CS,
S,ES,SES_soil,7,SES_soil3,,,,,soil,-105.5746522,40.04916699,3376.163,Global,0.01,0.01,0.011,0.014,1.934,m,FIX,2023-09-29 13:56:28.0 UTC-06:00,2023-09-29 13:56:28.0 UTC-06:00,1,1.3,,,,-105.57459,40.04908057,3373.377,11.944,Global CS,
S,ES,SES_soil,6,SES_soil2,,,,,soil,-105.5746223,40.04922873,3379.072,Global,0.01,0.01,0.013,0.014,1.934,m,FIX,2023-09-29 13:56:45.6 UTC-06:00,2023-09-29 13:56:45.6 UTC-06:00,1,1.2,,,,-105.57459,40.04908057,3373.377,18.351,Global CS,
S,ES,SES_soil,5,SES_soil1,,,,,soil,-105.5746966,40.0493055,3383.323,Global,0.01,0.01,0.016,0.014,1.934,m,FIX,2023-09-29 13:57:08.2 UTC-06:00,2023-09-29 13:57:08.2 UTC-06:00,1,1.3,,,,-105.57459,40.04908057,3373.377,29.127,Global CS,
S,ES,SESS4,a,SESS4_a,,,,,subplot,-105.5746564,40.049047,3370.652,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 13:46:48.6 UTC-06:00,2023-09-29 13:46:48.6 UTC-06:00,1,1.4,,,,-105.57459,40.04908057,3373.377,6.832,Global CS,
S,ES,SESS4,b,SESS4_a1,,,,,subplot,-105.5746504,40.04904806,3370.565,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 13:46:51.2 UTC-06:00,2023-09-29 13:46:51.2 UTC-06:00,1,1.4,,,,-105.57459,40.04908057,3373.377,6.359,Global CS,
S,ES,SESS4,c,SESS4_a2,,,,,subplot,-105.5746539,40.04903809,3370.326,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 13:46:54.2 UTC-06:00,2023-09-29 13:46:54.2 UTC-06:00,1,1.5,,,,-105.57459,40.04908057,3373.377,7.295,Global CS,
S,ES,SESS4,d,SESS4_a3,,,,,subplot,-105.5746488,40.04903932,3370.307,Global,0.01,0.01,0.018,0.014,1.934,m,FIX,2023-09-29 13:46:57.8 UTC-06:00,2023-09-29 13:46:57.8 UTC-06:00,1,1.7,,,,-105.57459,40.04908057,3373.377,6.888,Global CS,
S,ES,SESS8,a,SESS8_a,,,,,subplot,-105.5746343,40.04905058,3370.668,Global,0.01,0.01,0.013,0.014,1.934,m,FIX,2023-09-29 13:47:11.6 UTC-06:00,2023-09-29 13:47:11.6 UTC-06:00,1,1.3,,,,-105.57459,40.04908057,3373.377,5.1,Global CS,
S,ES,SESS8,b,SESS8_a1,,,,,subplot,-105.5746283,40.04905244,3370.744,Global,0.01,0.01,0.013,0.014,1.934,m,FIX,2023-09-29 13:47:14.6 UTC-06:00,2023-09-29 13:47:14.6 UTC-06:00,1,1.3,,,,-105.57459,40.04908057,3373.377,4.575,Global CS,
S,ES,SESS8,c,SESS8_a2,,,,,subplot,-105.5746303,40.04904253,3370.375,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 13:47:17.8 UTC-06:00,2023-09-29 13:47:17.8 UTC-06:00,1,1.3,,,,-105.57459,40.04908057,3373.377,5.552,Global CS,
S,ES,SESS8,d,SESS8_a3,,,,,subplot,-105.5746242,40.04904414,3370.373,Global,0.01,0.01,0.015,0.014,1.934,m,FIX,2023-09-29 13:47:22.0 UTC-06:00,2023-09-29 13:47:22.0 UTC-06:00,1,1.3,,,,-105.57459,40.04908057,3373.377,5.101,Global CS,
S,ES,SESS7,a,SESS7_a,,,,,subplot,-105.574653,40.04912563,3374.123,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 13:47:48.4 UTC-06:00,2023-09-29 13:47:48.4 UTC-06:00,1,1.4,,,,-105.57459,40.04908057,3373.377,7.82,Global CS,
S,ES,SESS7,b,SESS7_a1,,,,,subplot,-105.5746467,40.04912702,3374.147,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 13:47:51.6 UTC-06:00,2023-09-29 13:47:51.6 UTC-06:00,1,1.4,,,,-105.57459,40.04908057,3373.377,7.576,Global CS,
S,ES,SESS7,c,SESS7_a2,,,,,subplot,-105.5746497,40.0491179,3373.764,Global,0.01,0.01,0.011,0.014,1.934,m,FIX,2023-09-29 13:47:55.0 UTC-06:00,2023-09-29 13:47:55.0 UTC-06:00,1,1.4,,,,-105.57459,40.04908057,3373.377,6.966,Global CS,
S,ES,SESS7,d,SESS7_a3,,,,,subplot,-105.5746437,40.04911882,3373.744,Global,0.01,0.01,0.017,0.014,1.934,m,FIX,2023-09-29 13:47:58.4 UTC-06:00,2023-09-29 13:47:58.4 UTC-06:00,1,1.3,,,,-105.57459,40.04908057,3373.377,6.662,Global CS,
S,ES,SESS3,a,SESS3_a,,,,,subplot,-105.5747065,40.04916387,3376.796,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 13:48:22.2 UTC-06:00,2023-09-29 13:48:22.2 UTC-06:00,1,1.4,,,,-105.57459,40.04908057,3373.377,14.603,Global CS,
S,ES,SESS3,b,SESS3_a1,,,,,subplot,-105.5747004,40.04916511,3376.815,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 13:48:25.4 UTC-06:00,2023-09-29 13:48:25.4 UTC-06:00,1,1.4,,,,-105.57459,40.04908057,3373.377,14.351,Global CS,
S,ES,SESS3,c,SESS3_a2,,,,,subplot,-105.574703,40.04915558,3376.397,Global,0.01,0.01,0.017,0.014,1.934,m,FIX,2023-09-29 13:48:28.6 UTC-06:00,2023-09-29 13:48:28.6 UTC-06:00,1,1.4,,,,-105.57459,40.04908057,3373.377,13.679,Global CS,
S,ES,SESS3,d,SESS3_a3,,,,,subplot,-105.5746979,40.04915726,3376.301,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 13:48:32.6 UTC-06:00,2023-09-29 13:48:32.6 UTC-06:00,1,1.4,,,,-105.57459,40.04908057,3373.377,13.455,Global CS,
S,ES,SESS6,a,SESS6_a,,,,,subplot,-105.5747052,40.04923024,3380.063,Global,0.01,0.01,0.017,0.014,1.934,m,FIX,2023-09-29 13:49:11.0 UTC-06:00,2023-09-29 13:49:11.0 UTC-06:00,1,1.2,,,,-105.57459,40.04908057,3373.377,21.156,Global CS,
S,ES,SESS6,b,SESS6_a1,,,,,subplot,-105.5746995,40.04923079,3379.98,Global,0.01,0.01,0.015,0.014,1.934,m,FIX,2023-09-29 13:49:14.4 UTC-06:00,2023-09-29 13:49:14.4 UTC-06:00,1,1.3,,,,-105.57459,40.04908057,3373.377,20.945,Global CS,
S,ES,SESS6,c,SESS6_a2,,,,,subplot,-105.5747034,40.04922185,3379.71,Global,0.01,0.01,0.015,0.014,1.934,m,FIX,2023-09-29 13:49:17.8 UTC-06:00,2023-09-29 13:49:17.8 UTC-06:00,1,1.4,,,,-105.57459,40.04908057,3373.377,20.21,Global CS,
S,ES,SESS6,d,SESS6_a3,,,,,subplot,-105.5746978,40.04922258,3379.65,Global,0.01,0.01,0.016,0.014,1.934,m,FIX,2023-09-29 13:49:20.8 UTC-06:00,2023-09-29 13:49:20.8 UTC-06:00,1,1.4,,,,-105.57459,40.04908057,3373.377,20.025,Global CS,
S,ES,SESS2,a,SESS2_a,,,,,subplot,-105.5747188,40.04924168,3380.799,Global,0.01,0.01,0.013,0.014,1.934,m,FIX,2023-09-29 13:49:44.8 UTC-06:00,2023-09-29 13:49:44.8 UTC-06:00,1,1.3,,,,-105.57459,40.04908057,3373.377,22.998,Global CS,
S,ES,SESS2,b,SESS2_a1,,,,,subplot,-105.5747131,40.04924277,3380.737,Global,0.01,0.01,0.012,0.014,1.934,m,FIX,2023-09-29 13:49:47.6 UTC-06:00,2023-09-29 13:49:47.6 UTC-06:00,1,1.3,,,,-105.57459,40.04908057,3373.377,22.836,Global CS,
S,ES,SESS2,c,SESS2_a2,,,,,subplot,-105.5747164,40.04923339,3380.458,Global,0.01,0.01,0.021,0.014,1.934,m,FIX,2023-09-29 13:49:50.6 UTC-06:00,2023-09-29 13:49:50.6 UTC-06:00,1,1.4,,,,-105.57459,40.04908057,3373.377,22.046,Global CS,
S,ES,SESS2,d,SESS2_a3,,,,,subplot,-105.5747103,40.04923414,3380.389,Global,0.01,0.01,0.016,0.014,1.934,m,FIX,2023-09-29 13:49:54.6 UTC-06:00,2023-09-29 13:49:54.6 UTC-06:00,1,1.3,,,,-105.57459,40.04908057,3373.377,21.83,Global CS,
S,ES,SESS5,a,SESS5_a,,,,,subplot,-105.5747075,40.04929565,3382.888,Global,0.01,0.01,0.013,0.014,1.934,m,FIX,2023-09-29 13:50:15.2 UTC-06:00,2023-09-29 13:50:15.2 UTC-06:00,1,1.3,,,,-105.57459,40.04908057,3373.377,28.328,Global CS,
S,ES,SESS5,b,SESS5_a1,,,,,subplot,-105.5747019,40.0492958,3382.951,Global,0.01,0.01,0.013,0.014,1.934,m,FIX,2023-09-29 13:50:18.2 UTC-06:00,2023-09-29 13:50:18.2 UTC-06:00,1,1.3,,,,-105.57459,40.04908057,3373.377,28.202,Global CS,
S,ES,SESS5,c,SESS5_a2,,,,,subplot,-105.574707,40.04928716,3382.56,Global,0.01,0.01,0.015,0.014,1.934,m,FIX,2023-09-29 13:50:20.8 UTC-06:00,2023-09-29 13:50:20.8 UTC-06:00,1,1.4,,,,-105.57459,40.04908057,3373.377,27.387,Global CS,
S,ES,SESS5,d,SESS5_a3,,,,,subplot,-105.574701,40.0492872,3382.642,Global,0.01,0.01,0.014,0.014,1.934,m,FIX,2023-09-29 13:50:24.0 UTC-06:00,2023-09-29 13:50:24.0 UTC-06:00,1,1.5,,,,-105.57459,40.04908057,3373.377,27.241,Global CS,
S,ES,SESS1,a,SESS1_a,,,,,subplot,-105.5747346,40.04929657,3383.116,Global,0.01,0.01,0.012,0.014,1.934,m,FIX,2023-09-29 13:50:40.2 UTC-06:00,2023-09-29 13:50:40.2 UTC-06:00,1,1.3,,,,-105.57459,40.04908057,3373.377,29.401,Global CS,
S,ES,SESS1,b,SESS1_a1,,,,,subplot,-105.5747284,40.0492977,3383.13,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 13:50:43.6 UTC-06:00,2023-09-29 13:50:43.6 UTC-06:00,1,1.2,,,,-105.57459,40.04908057,3373.377,29.293,Global CS,
S,ES,SESS1,c,SESS1_a2,,,,,subplot,-105.5747323,40.04928807,3382.729,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 13:50:46.6 UTC-06:00,2023-09-29 13:50:46.6 UTC-06:00,1,1.6,,,,-105.57459,40.04908057,3373.377,28.397,Global CS,
S,ES,SESS1,d,SESS1_a3,,,,,subplot,-105.5747265,40.0492893,3382.768,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 13:50:49.8 UTC-06:00,2023-09-29 13:50:49.8 UTC-06:00,1,1.4,,,,-105.57459,40.04908057,3373.377,28.315,Global CS,
S,ES,SEWA,c,SEWA,,,,,itex,-105.5746613,40.04932678,3384.139,Global,0.01,0.01,0.015,0.014,1.934,m,FIX,2023-09-29 13:52:40.4 UTC-06:00,2023-09-29 13:52:40.4 UTC-06:00,1,1.5,,,,-105.57459,40.04908057,3373.377,30.765,Global CS,
S,ES,SEWA,b,SEWA1,,,,,itex,-105.5746542,40.04933832,3384.519,Global,0.01,0.01,0.012,0.014,1.934,m,FIX,2023-09-29 13:52:47.8 UTC-06:00,2023-09-29 13:52:47.8 UTC-06:00,1,1.2,,,,-105.57459,40.04908057,3373.377,31.953,Global CS,
S,ES,SECA,c,SECA,,,,,itex,-105.574625,40.04923897,3379.564,Global,0.01,0.01,0.014,0.014,1.934,m,FIX,2023-09-29 13:53:24.0 UTC-06:00,2023-09-29 13:53:24.0 UTC-06:00,1,1.4,,,,-105.57459,40.04908057,3373.377,19.61,Global CS,
S,ES,SECA,b,SECA1,,,,,itex,-105.5746186,40.04924956,3380.064,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 13:53:28.4 UTC-06:00,2023-09-29 13:53:28.4 UTC-06:00,1,1.3,,,,-105.57459,40.04908057,3373.377,20.803,Global CS,
S,ES,SEWB,c,SEWB,,,,,itex,-105.5746189,40.04920376,3377.7,Global,0.01,0.01,0.012,0.014,1.934,m,FIX,2023-09-29 13:53:53.2 UTC-06:00,2023-09-29 13:53:53.2 UTC-06:00,1,1.2,,,,-105.57459,40.04908057,3373.377,15.249,Global CS,
S,ES,SEWB,b,SEWB1,,,,,itex,-105.5746087,40.04921375,3378.076,Global,0.01,0.01,0.014,0.014,1.934,m,FIX,2023-09-29 13:53:57.6 UTC-06:00,2023-09-29 13:53:57.6 UTC-06:00,1,1.3,,,,-105.57459,40.04908057,3373.377,16.293,Global CS,
S,ES,SECB,c,SECB,,,,,itex,-105.5746007,40.0491004,3372.478,Global,0.01,0.01,0.013,0.014,1.934,m,FIX,2023-09-29 13:54:34.4 UTC-06:00,2023-09-29 13:54:34.4 UTC-06:00,1,1.3,,,,-105.57459,40.04908057,3373.377,2.6,Global CS,
S,ES,SECB,b,SECB1,,,,,itex,-105.5745932,40.04911231,3372.95,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 13:54:39.0 UTC-06:00,2023-09-29 13:54:39.0 UTC-06:00,1,1.2,,,,-105.57459,40.04908057,3373.377,3.845,Global CS,
S,ES,SECC,c,SECC,,,,,itex,-105.5746071,40.04904986,3370.392,Global,0.01,0.01,0.012,0.014,1.934,m,FIX,2023-09-29 13:55:06.0 UTC-06:00,2023-09-29 13:55:06.0 UTC-06:00,1,1.3,,,,-105.57459,40.04908057,3373.377,3.855,Global CS,
S,ES,SECC,b,SECC1,,,,,itex,-105.5745987,40.04906048,3370.69,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 13:55:09.8 UTC-06:00,2023-09-29 13:55:09.8 UTC-06:00,1,1.2,,,,-105.57459,40.04908057,3373.377,2.469,Global CS,
S,ES,SEWC,c,SEWC,,,,,itex,-105.5745904,40.049036,3369.53,Global,0.01,0.01,0.012,0.014,1.934,m,FIX,2023-09-29 13:55:28.4 UTC-06:00,2023-09-29 13:55:28.4 UTC-06:00,1,1.5,,,,-105.57459,40.04908057,3373.377,5.308,Global CS,
S,ES,SEWC,b,SEWC1,,,,,itex,-105.5745839,40.04904869,3369.928,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 13:55:34.2 UTC-06:00,2023-09-29 13:55:34.2 UTC-06:00,1,1.2,,,,-105.57459,40.04908057,3373.377,3.888,Global CS,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,CO,SCO,a,SCO1,,,,,plot,-105.5744713,40.04937407,3385.989,Global,0.01,0.01,0.016,0.014,1.934,m,FIX,2023-09-29 13:58:21.8 UTC-06:00,2023-09-29 13:58:21.8 UTC-06:00,1,1.2,,,,-105.57459,40.04908057,3373.377,37.116,Global CS,
