Site,Plot,Name,Point,Original_Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name,Notes
T,ES,TES,a,,,,,,plot,,,,,,,,,,,,,,,,,,,,,,,,could not find marker
T,ES,TES,b,TES2,,,,,plot,-105.5823025,40.05008906,3402.833,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 08:44:32.4 UTC-06:00,2023-09-29 08:44:32.4 UTC-06:00,1,1.1,,,,-105.5822951,40.04991788,3401.371,19.329,Global CS,
T,ES,TES,c,TES3,,,,,plot,-105.5822644,40.04972959,3394.995,Global,0.01,0.01,0.012,0.014,1.934,m,FIX,2023-09-29 08:48:38.0 UTC-06:00,2023-09-29 08:48:38.0 UTC-06:00,1,1.1,,,,-105.5822951,40.04991788,3401.371,21.544,Global CS,
T,ES,TES,d,TES4,,,,,plot,-105.5821551,40.04975918,3395.031,Global,0.01,0.01,0.012,0.014,1.934,m,FIX,2023-09-29 08:48:47.8 UTC-06:00,2023-09-29 08:48:47.8 UTC-06:00,1,1.4,,,,-105.5822951,40.04991788,3401.371,21.753,Global CS,
T,ES,TEST1,top,TEST1_top,,,,,transect,-105.5823961,40.05006379,3403.358,Global,0.01,0.01,0.012,0.014,1.934,m,FIX,2023-09-29 08:44:01.8 UTC-06:00,2023-09-29 08:44:01.8 UTC-06:00,1,1.2,,,,-105.5822951,40.04991788,3401.371,18.777,Global CS,
T,ES,TEST2,top,TEST2_top,,,,,transect,-105.5823732,40.05007,3402.943,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 08:44:18.6 UTC-06:00,2023-09-29 08:44:18.6 UTC-06:00,1,1.4,,,,-105.5822951,40.04991788,3401.371,18.503,Global CS,
T,ES,TEST1,bottom,TEST1,,,,,transect,-105.5822479,40.04973287,3394.754,Global,0.01,0.01,0.012,0.014,1.934,m,FIX,2023-09-29 08:49:07.6 UTC-06:00,2023-09-29 08:49:07.6 UTC-06:00,1,1.5,,,,-105.5822951,40.04991788,3401.371,21.462,Global CS,
T,ES,TEST2,bottom,TEST2,,,,,transect,-105.5822267,40.04973928,3394.716,Global,0.01,0.01,0.017,0.014,1.934,m,FIX,2023-09-29 08:49:12.6 UTC-06:00,2023-09-29 08:49:12.6 UTC-06:00,1,1.2,,,,-105.5822951,40.04991788,3401.371,21.216,Global CS,
T,ES,TES_soil,8,TES_soil4,,,,,soil,-105.5822426,40.04980643,3396.531,Global,0.01,0.01,0.011,0.014,1.934,m,FIX,2023-09-29 08:49:35.2 UTC-06:00,2023-09-29 08:49:35.2 UTC-06:00,1,1.2,,,,-105.5822951,40.04991788,3401.371,13.483,Global CS,
T,ES,TES_soil,7,TES_soil3,,,,,soil,-105.5822856,40.04988434,3398.607,Global,0.01,0.01,0.011,0.014,1.934,m,FIX,2023-09-29 08:49:51.4 UTC-06:00,2023-09-29 08:49:51.4 UTC-06:00,1,1.3,,,,-105.5822951,40.04991788,3401.371,3.903,Global CS,
T,ES,TES_soil,6,TES_soil2,,,,,soil,-105.5823117,40.04994918,3399.735,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 08:50:06.8 UTC-06:00,2023-09-29 08:50:06.8 UTC-06:00,1,1.2,,,,-105.5822951,40.04991788,3401.371,3.768,Global CS,
T,ES,TES_soil,5,TES_soil1,,,,,soil,-105.5823374,40.05002149,3401.075,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 08:50:30.2 UTC-06:00,2023-09-29 08:50:30.2 UTC-06:00,1,1.2,,,,-105.5822951,40.04991788,3401.371,12.175,Global CS,
