"","Site","Plot","Original_N","slope","aspect","elevation","tp11","tp3","tp31","cosaspect","radiation"
"1","A","CO","ACOS1",0.267794965363287,60.7359897961311,3474.79931640625,0.177214898003361,0.04010009765625,0.601515960693177,-0.501270936010441,-0.132639117716204
"2","A","CO","ACOS2",0.210928590700336,53.3864123980814,3471.84271240234,-0.00215861002607198,-0.0195159912109375,-0.0556058247884721,-0.999786533741947,-0.209323307248598
"3","A","CO","ACOS3",0.221597400813815,70.3173104854669,3471.06998697917,-0.00351426866321465,-0.021453857421875,-0.0105764600965207,0.360239128911547,0.0791763253368294
"4","A","CO","ACOS4",0.188795384434785,71.6723573329769,3469.97845458984,0.0196935017904707,-0.000101725260416667,0.0896368238660822,-0.834112928593828,-0.156542828388152
"5","A","CO","ACOS5",0.205063199947749,49.3979932322862,3475.49572753906,0.123203023274641,-0.026947021484375,0.709039433797216,0.646743570606435,0.131695769887272
"6","A","CO","ACOS6",0.249662963211272,56.0267061324958,3472.24847412109,0.0186747233072992,0.0135294596354167,-0.0258105807833999,0.866842814580522,0.21417725676684
"7","A","CO","ACOS7",0.188042203469082,68.1896911054991,3470.28338623047,0.0343922932942178,0.021148681640625,0.19052912394227,0.601557216288652,0.112452681602047
"8","A","CO","ACOS8",0.304790567886169,52.575862377475,3467.46590169271,0.153191460503422,0.0220133463541667,-0.0694587707519834,-0.673980349880721,-0.2022570563744
"9","A","ES","AESS1",0.164762041429179,56.5355143303712,3474.92521158854,-0.123452758788972,-0.080902099609375,0.222977320353039,0.999913494831,0.164003411270116
"10","A","ES","AESS2",0.186346321735083,55.9623854206713,3472.59122721354,0.00580715603291537,0.00102742513020833,0.492919413248728,0.833003291066284,0.154330282211296
"11","A","ES","AESS3",0.246537424172519,58.7027477317024,3469.63818359375,0.124619038899709,0.007110595703125,0.466884613037109,-0.55076761984053,-0.13441348830376
"12","A","ES","AESS4",0.397974344089178,57.6857476937685,3466.85198974609,-0.257565307617028,-0.064605712890625,-0.665160030788835,0.420245993996987,0.162867088050796
"13","A","ES","AESS5",0.145323554226801,68.5104794347638,3475.23211669922,-0.052019755045535,0.023529052734375,0.261549801296648,0.822752873429404,0.11914496709354
"14","A","ES","AESS6",0.206737537747498,65.8285378014367,3472.30377197266,0.032228088378929,0.0132548014322917,0.730239232381109,-0.989519205970197,-0.203116635474006
"15","A","ES","AESS7",0.229538662143371,56.4355203096734,3470.353515625,0.022039116753452,-0.008880615234375,0.753826819525936,0.993605652976222,0.226073415150193
"16","A","ES","AESS8",0.30785879921711,71.8424172313503,3465.91473388672,-0.198423258463436,-0.0146484375,-1.12583118014876,-0.915433025074809,-0.277393417936899
"17","E","CO","ECOS1",0.309985437329928,144.412942110481,3517.70965576172,-0.160928344726585,-0.034393310546875,-0.306384362114689,0.994972172182952,0.30351105532207
"18","E","CO","ECOS2",0.219516113295932,134.015097648807,3515.814453125,0.0626571655272983,-0.00768025716145833,0.120692613389717,-0.477150881137689,-0.103903122759137
"19","E","CO","ECOS3",0.269440966474393,148.435916644223,3513.55672200521,-0.0336758083767563,0.026458740234375,0.177294158935638,-0.710166306958274,-0.189041026188937
"20","E","CO","ECOS4",0.278118482187468,140.467609638811,3510.80395507812,0.0315124511718447,0.02435302734375,0.18822538587771,-0.618424725175763,-0.169786602027864
"21","E","CO","ECOS5",0.262701402047697,151.71576839755,3517.65893554688,-0.145111592610647,0.005767822265625,-0.252326711018668,0.606360210377645,0.157465815553783
"22","E","CO","ECOS6",0.217493547961527,130.772220458716,3515.64884440104,-0.00273234049473103,-0.00794474283854167,0.0279104444716722,0.385846625030879,0.0832591037039743
"23","E","CO","ECOS7",0.200170682073678,150.325121347749,3513.36922200521,0.0389594184028586,0.0174357096354167,0.235970645480544,0.890966966193149,0.177156849127259
"24","E","CO","ECOS8",0.281944756426009,136.56412853855,3510.82161458333,0.00327284071166408,0.0135294596354167,0.16581548055016,-0.0950083752455821,-0.0264336238305281
"25","E","ES","EESS1",0.268354250903875,150.983628171477,3518.18298339844,-0.00561269124364117,-0.0104573567708333,0.0897983127169937,0.982532763136091,0.260513601439424
"26","E","ES","EESS2",0.281757902798239,142.403494813861,3515.83721923828,0.014466857910179,-0.07232666015625,0.000991312662790733,-0.513253072563043,-0.142707277460127
"27","E","ES","EESS3",0.325578192229918,142.631273467777,3513.06274414062,-0.0280548095702216,-0.009033203125,-0.1362742106121,-0.306193858629587,-0.097938143935488
"28","E","ES","EESS4",0.246411370834286,129.302071833542,3510.60921223958,0.0872979058159823,0.0307718912760417,0.2707715352376,-0.8791250787275,-0.214440854084909
"29","E","ES","EESS5",0.240737217369071,152.131025606092,3518.31762695312,0.042036946614644,0.00278727213541667,0.146080186631934,0.234027425402941,0.0557965025921456
"30","E","ES","EESS6",0.272553486011086,140.978234098331,3515.51013183594,0.00118408203115905,0.00288899739583333,0.042319742838572,-0.923597538546932,-0.248624643680165
"31","E","ES","EESS7",0.330421566205136,132.40203208717,3512.87866210938,-0.0449839274087935,0.008026123046875,-0.156776428222656,0.898199214898485,0.29141338716852
"32","E","ES","EESS8",0.238645956054048,131.211460215479,3510.34222412109,0.0169286092121865,-0.0331573486328125,0.16722335815416,0.741541503586332,0.175290900895192
"33","L","CO","LCOS1",0.228329151695054,50.8670688670839,3456.25268554688,0.156113688150981,-0.0012969970703125,0.741519546508925,0.824438822459335,0.186612021969897
"34","L","CO","LCOS2",0.282387852248153,51.2699759525698,3453.70764160156,0.234994506835847,0.0271759033203125,0.552175394694132,0.536515718070346,0.149499952955396
"35","L","CO","LCOS3",0.248324734112693,54.9794331324076,3450.99169921875,-0.00423583984365905,0.0140228271484375,-0.0978483835856423,0.00156169395138244,0.000383833806080433
"36","L","CO","LCOS4",0.253192835507715,48.6876414416186,3448.77941894531,0.0335266113281705,0.00640869140625,-0.188608296712118,-0.0070446307547921,-0.00176465373423075
"37","L","CO","LCOS5",0.244121298882601,56.4158802182828,3455.81705729167,0.206060112847202,0.00946044921875,0.812599690755178,0.991196680582834,0.239575975009929
"38","L","CO","LCOS6",0.294992464850909,48.2320071199539,3453.50665283203,0.220953877766874,0.0295817057291667,0.5388233608669,-0.446347045183188,-0.129767655011464
"39","L","CO","LCOS7",0.296934961708321,48.1445997455297,3451.68839518229,0.0338948567708333,0.0165608723958333,0.0983361985947037,-0.522760872406689,-0.152954959239521
"40","L","CO","LCOS8",0.25586247622291,45.5958575426026,3447.32751464844,0.011141967773483,0.0050048828125,-0.195439020792719,-0.0427510325024623,-0.0108194270860652
"41","L","ES","LESS1",0.252005591267318,44.8810058774743,3455.88708496094,0.356161499023301,0.0433807373046875,1.07824350992837,0.622620938476433,0.155248478019493
"42","L","ES","LESS2",0.31193294308149,47.0501525870888,3453.48266601562,0.0321051703558624,-0.00397745768229167,0.57445771959101,-0.99728264299646,-0.306064918192769
"43","L","ES","LESS3",0.249878717418743,43.6185138866493,3449.27905273438,-0.054410129123274,-0.01129150390625,-0.0803862677680627,0.934557382793798,0.231103373059861
"44","L","ES","LESS4",0.249538208282531,43.9618678187556,3448.74475097656,-0.00982462565093556,-0.0018463134765625,-0.0767965952554732,0.999791328464905,0.24690496436812
"45","L","ES","LESS5",0.232194412206901,43.3492099416316,3456.04986572266,0.358047485351449,0.033843994140625,1.05545043945312,0.806204847828586,0.185518698530289
"46","L","ES","LESS6",0.294641159686255,47.0823432007707,3454.87158203125,0.22160847981786,0.022491455078125,0.930248006184684,-0.999137064024732,-0.290145898651073
"47","L","ES","LESS7",0.285518152495267,44.0564594948648,3451.15258789062,-0.197908528645712,-0.024993896484375,0.0324976603192226,0.99725123353121,0.280880461712264
"48","L","ES","LESS8",0.25590135205241,43.2021221478749,3448.37048339844,0.01424662272143,0.00628662109375,-0.0640665690104925,0.710790451553021,0.179913510186545
"49","S","CO","SCOS1",0.472734702430726,167.108216371376,3387.36547851562,-0.131122843424464,-0.0420684814453125,0.289571126302235,-0.823180765762257,-0.374812940574477
